,cpu,cpu_point
144,Intel Core i9-9820X @ 3.30GHz,19371
145,AMD Ryzen 9 4900HS,19335
146,AMD Ryzen 9 4900H,19220
147,Intel Core i7-10700K @ 3.80GHz,19190
148,AMD Ryzen 5 6600H,19139
149,Intel Core i7-10700KF @ 3.80GHz,19033
150,AMD Ryzen 5 6600HS Creator Edition,18975
151,AMD Ryzen 7 4800H,18951
152,AMD Ryzen 5 5600GE,18879
153,Hygon C86 7255 16-core,18831
154,ARM Neoverse-N1 80 Core 2600 MHz,18823
155,AMD Ryzen 7 4800HS,18816
156,AMD Ryzen 7 5800U,18813
157,AMD Ryzen 5 3600XT,18731
158,AMD Ryzen 5 PRO 5650GE,18657
159,Intel Core i9-9900K @ 3.60GHz,18636
160,Intel Core i9-9900KF @ 3.60GHz,18599
161,AMD Ryzen 7 PRO 4750GE,18470
162,Intel Core i9-11900T @ 1.50GHz,18444
163,Intel Core i5-12450H,18362
164,AMD Ryzen 7 5825U,18326
165,Intel Core i7-1270P,18304
166,AMD Ryzen 5 3600X,18297
167,Intel Core i5-11600 @ 2.80GHz,18241
168,AMD Ryzen 7 Extreme Edition,18192
169,AMD 4700S,18098
170,Intel Core i7-9800X @ 3.80GHz,18096
171,Intel Core i9-10900TE @ 1.80GHz,17888
172,AMD Ryzen 5 3600,17816
173,AMD Ryzen 5 PRO 3600,17813
174,AMD Ryzen 5 6600U,17804
175,Intel Core i5-11500B @ 3.30GHz,17801
176,Intel Core i5-11500 @ 2.70GHz,17628
177,AMD Ryzen 7 2700X,17604
178,Intel Core i5-12500T,17571
179,AMD Ryzen 7 4980U Microsoft Surface Edition,17532
180,AMD Ryzen 7 PRO 5850U,17397
181,Intel Core i5-1250P,17368
182,Apple M1 Pro 8 Core 3200 MHz,17295
183,Intel Core i7-7820X @ 3.60GHz,17234
184,AMD Ryzen 7 PRO 2700X,17221
185,Intel Core i7-6950X @ 3.00GHz,17215
186,Intel Core i5-11400F @ 2.60GHz,17200
187,Intel Core i5-1240P,17157
188,AMD Ryzen 5 5600H,17126
189,Intel Core i7-1260P,17104
190,Intel Core i5-11400 @ 2.60GHz,17074
191,AMD Ryzen 5 PRO 6650U,17057
192,Intel Core i7-10700F @ 2.90GHz,17008
193,AMD Ryzen 7 4800U,17004
194,AMD Ryzen Threadripper 1900X,16999
195,Intel Core i5-12500TE,16865
196,Intel Core i9-9900 @ 3.10GHz,16835
197,Intel Core i7-10700 @ 2.90GHz,16809
198,Intel Core i5-12600T,16532
199,AMD Ryzen Embedded V2718,16500
200,AMD Ryzen 7 1800X,16450
201,Intel Core i7-10700E @ 2.90GHz,16418
202,Intel Core i5-12400T,16405
203,AMD Ryzen 7 PRO 5875U,16367
204,AMD Ryzen 5 PRO 4400G,16354
205,Intel Core i7-10700TE @ 2.00GHz,16332
206,AMD Ryzen 5 PRO 4650G,16321
207,AMD Ryzen Embedded V2748,16241
208,Intel Core i5-11500H @ 2.90GHz,16133
209,Intel Core i9-10980HK @ 2.40GHz,16058
210,Intel Core i5-11400H @ 2.70GHz,15991
211,AMD Ryzen 7 4850U Mobile,15920
212,Intel Core i7-11600H @ 2.90GHz,15907
213,AMD Ryzen 7 5700U,15891
214,AMD Ryzen 5 4500,15887
215,AMD Ryzen 7 2700,15785
216,Intel Core i5-11260H @ 2.60GHz,15713
217,AMD Ryzen 7 1700X,15685
218,Intel Core i3-1220P,15651
219,AMD Ryzen 5 4600GE,15641
220,Intel Core i7-11700T @ 1.40GHz,15621
221,AMD Ryzen 7 PRO 1700X,15613
222,AMD Ryzen 5 4600G,15604
223,AMD Ryzen 5 PRO 4650GE,15601
224,Intel Core i9-10885H @ 2.40GHz,15574
225,Apple M2 8 Core 3500 MHz,15533
226,AMD Ryzen 5 5560U,15408
227,AMD Ryzen 7 PRO 4750U,15376
228,Intel Core i5-11600T @ 1.70GHz,15352
229,Intel Core i7-10875H @ 2.30GHz,15340
230,AMD Ryzen 5 5600U,15317
231,Intel Core i9-10900T @ 1.90GHz,15209
232,AMD Ryzen 7 PRO 2700,15203
233,AMD Ryzen 5 PRO 5650U,15128
234,Intel Core i3-12300,15023
235,Intel Core i7-10870H @ 2.20GHz,14853
236,AMD Ryzen 7 1700,14838
237,AMD Ryzen 5 PRO 4400GE,14795
238,AMD Ryzen 5 4600HS,14741
239,Intel Core i9-10880H @ 2.30GHz,14735
240,AMD Ryzen 5 4600H,14678
241,AMD Ryzen 7 2700E,14657
242,AMD Ryzen 7 PRO 1700,14568
243,Intel Core i7-9700K @ 3.60GHz,14555
244,Intel Core i9-9980HK @ 2.40GHz,14554
245,Intel Core i5-10600KF @ 4.10GHz,14518
246,Intel Core i7-8086K @ 4.00GHz,14513
247,Intel Core i5-10600K @ 4.10GHz,14506
248,AMD Ryzen 5 5625U,14484
249,Apple M1 8 Core 3200 MHz,14458
250,Intel Core i7-9700KF @ 3.60GHz,14435
251,Intel Core i3-12100F,14379
252,Intel Core i3-12100,14362
253,Intel Core i7-6900K @ 3.20GHz,14360
254,AMD Ryzen 5 PRO 5675U,14146
255,Intel Core i9-9900T @ 2.10GHz,14060
256,AMD Ryzen 5 2600X,14029
257,Intel Core i9-9880H @ 2.30GHz,13967
258,AMD Ryzen 3 PRO 5350G,13962
259,Intel Core i5-10600 @ 3.30GHz,13824
260,Intel Core i7-8700K @ 3.70GHz,13795
261,AMD Ryzen 3 PRO 5350GE,13685
262,AMD Ryzen 3 5300GE,13636
263,AMD Ryzen 7 4700U,13556
264,Intel Core i5-1235U,13492
265,AMD Ryzen 5 4600U,13445
266,Intel Core i7-1255U,13431
267,Intel Core i7-9700F @ 3.00GHz,13428
268,Intel Core i7-9700 @ 3.00GHz,13372
269,Intel Core i5-11400T @ 1.30GHz,13330
270,AMD Ryzen 5 3500X,13267
271,AMD Ryzen 5 PRO 2600,13250
272,AMD Ryzen 5 2600,13247
273,AMD Ryzen Embedded V2516,13225
274,Intel Core i5-11500T @ 1.50GHz,13190
275,Intel Core i7-10700T @ 2.00GHz,13164
276,AMD Ryzen 5 5500U,13151
277,Intel Core i7-1265U,13124
278,AMD Ryzen 5 1600X,13085
279,Intel Core i5-1245U,13041
280,Intel Core i7-1260U,13024
281,Intel Core i7-8700 @ 3.20GHz,13005
282,AMD Ryzen 3 5300G,13003
283,Intel Core i3-12100TE,12961
284,Intel Core i5-10500 @ 3.10GHz,12955
285,Intel Core i7-7800X @ 3.50GHz,12898
286,Intel Core i3-12100T,12840
287,AMD Ryzen 5 3500,12830
288,AMD Ryzen 5 PRO 4650U,12818
289,Intel Core i7-9700E @ 2.60GHz,12751
290,AMD Ryzen 3 3300X,12694
291,Intel Core i7-5960X @ 3.00GHz,12663
292,Intel Core i5-10400F @ 2.90GHz,12391
293,Intel Core i5-10505 @ 3.20GHz,12373
